,equity
2020-09-11,125906867.46504965
2020-09-14,136194134.34104064
2020-09-15,136796602.56555396
2020-09-16,133583799.9194196
2020-09-17,133871781.14274523
2020-09-18,135460829.52126727
2020-09-21,134454981.56805092
2020-09-22,130960563.705212
2020-09-23,121931855.5712407
2020-09-24,121669129.79127353
2020-09-25,121636289.06877764
2020-09-28,120614049.05299552
2020-09-29,121945099.07924049
2020-10-05,123990767.01888762
2020-10-06,121713276.0637399
2020-10-07,121755735.44091502
2020-10-08,122219761.30963157
2020-10-12,123094379.5059996
2020-10-13,121792264.16416717
2020-10-14,119866739.86001147
2020-10-15,120844085.18308628
2020-10-16,116577261.20541021
2020-10-19,113911825.84102707
2020-10-20,116780720.87273571
2020-10-21,117202075.6019312
2020-10-22,114667744.46371843
2020-10-23,114687369.44649193
2020-10-26,112135892.64192373
2020-10-27,112795304.84383214
2020-10-28,113472032.12412426
2020-10-29,113372120.09595561
2020-10-30,112727481.84752108
2020-11-02,112515427.9599339
2020-11-03,109062255.31639147
2020-11-04,108398901.3151767
2020-11-05,111796507.4482452
2020-11-06,112102453.47611907
2020-11-09,120291065.14275405
2020-11-10,123851892.0480249
2020-11-11,127427530.19631669
2020-11-12,134187540.10422002
2020-11-13,133714833.53458263
2020-11-16,133624956.17162123
2020-11-17,127818323.54618005
2020-11-18,129616020.06345382
2020-11-19,126655237.49911779
2020-11-20,126985710.53999999
2020-11-23,130276628.21292232
2020-11-24,128455178.31820546
2020-11-25,126827041.3383898
2020-11-26,128212570.11138122
2020-11-27,127444682.18222928
2020-11-30,128677714.11874887
2020-12-01,130676033.22217453
2020-12-02,131711280.69237022
2020-12-03,129534690.53518252
2020-12-04,128318759.49817745
2020-12-07,126147968.21797341
2020-12-08,122826297.14766854
2020-12-09,121506480.33629557
2020-12-10,123449290.0143124
2020-12-11,122913615.64313495
2020-12-14,125734402.7553665
2020-12-15,131931527.49298395
2020-12-16,131575612.51378988
2020-12-17,134014255.00848591
2020-12-18,138477797.69991973
2020-12-21,134890508.71063435
2020-12-22,134211563.03885101
2020-12-23,128051111.7518957
2020-12-24,124078194.23392141
2020-12-28,122408663.57438612
2020-12-29,129160920.64244506
2020-12-30,135515045.15230054
2021-01-04,145545864.99268186
2021-01-05,147219187.70049
2021-01-06,145696725.52422935
2021-01-07,147308374.23145485
2021-01-08,149631104.86108285
2021-01-11,143175902.58630916
2021-01-12,141631708.3762846
2021-01-13,138231391.2564786
