date,ticker,action,price,units_after,reason
2020-10-05,267270,BUY,30000.0,1,ENTRY
2020-10-06,005850,ADD,15650.0,2,ADD_8PCT
2020-10-06,226950,BUY,37335.0,1,ENTRY
2020-10-13,226950,SELL,33831.0,0,STOP_8PCT
2020-10-13,086280,BUY,82532.0,1,ENTRY
2020-10-15,086280,ADD,89785.0,2,ADD_8PCT
2020-10-16,267270,SELL,27350.0,0,STOP_8PCT
2020-10-20,086280,ADD,99789.0,3,ADD_16PCT
2020-10-21,032820,SELL,1295.0,0,STOP_8PCT
2020-10-26,086280,SELL,89285.0,0,STOP_8PCT
2020-10-26,011200,BUY,8820.0,1,ENTRY
2020-10-27,012330,BUY,244500.0,1,ENTRY
2020-10-29,005850,SELL,14950.0,0,MA20_BREAK
2020-10-30,012330,SELL,225500.0,0,MA20_BREAK
2020-11-05,011200,ADD,10150.0,2,ADD_8PCT
2020-11-05,043260,BUY,1375.0,1,ENTRY
2020-11-06,011200,ADD,10250.0,3,ADD_16PCT
2020-11-06,043260,SELL,1220.0,0,STOP_8PCT
2020-11-09,034020,BUY,15105.0,1,ENTRY
2020-11-10,090710,BUY,4000.0,1,ENTRY
2020-11-16,090710,ADD,5075.0,2,ADD_8PCT
2020-11-19,034020,SELL,14140.0,0,MA20_BREAK
2020-11-19,090710,ADD,5587.0,3,ADD_16PCT
2020-11-30,090710,SELL,5112.0,0,STOP_8PCT
2020-11-30,026960,BUY,34000.0,1,ENTRY
2020-12-01,204320,BUY,51900.0,1,ENTRY
2020-12-03,011200,SELL,12950.0,0,MA20_BREAK
2020-12-03,068760,BUY,191766.0,1,ENTRY
2020-12-04,226950,BUY,57000.0,1,ENTRY
2020-12-07,204320,ADD,57800.0,2,ADD_8PCT
2020-12-08,026960,SELL,30550.0,0,STOP_8PCT
2020-12-08,068760,SELL,165469.0,0,STOP_8PCT
2020-12-08,006400,BUY,541405.0,1,ENTRY
2020-12-09,003490,BUY,21517.0,1,ENTRY
2020-12-11,204320,SELL,53100.0,0,STOP_8PCT
2020-12-11,307950,BUY,102000.0,1,ENTRY
2020-12-14,307950,ADD,111500.0,2,ADD_8PCT
2020-12-15,307950,ADD,127500.0,3,ADD_16PCT
2020-12-17,226950,SELL,52400.0,0,MA20_BREAK
2020-12-21,307950,SELL,115500.0,0,STOP_8PCT
2020-12-21,000250,BUY,88600.0,1,ENTRY
2020-12-22,003490,SELL,20160.0,0,MA20_BREAK
2020-12-22,000250,SELL,78400.0,0,STOP_8PCT
2020-12-22,017960,BUY,13400.0,1,ENTRY
2020-12-23,006400,SELL,542384.0,0,MA20_BREAK
2020-12-23,204320,BUY,59000.0,1,ENTRY
2020-12-24,319400,BUY,5390.0,1,ENTRY
2020-12-28,319400,SELL,4885.0,0,STOP_8PCT
2020-12-28,068760,BUY,208193.0,1,ENTRY
2020-12-29,042700,BUY,8950.0,1,ENTRY
2020-12-30,319400,BUY,5890.0,1,ENTRY
2021-01-04,068760,SELL,180136.0,0,MA20_BREAK
2021-01-04,011200,BUY,16550.0,1,ENTRY
2021-01-05,204320,ADD,66700.0,2,ADD_8PCT
2021-01-11,011200,SELL,15200.0,0,STOP_8PCT
2021-01-12,017960,SELL,13250.0,0,MA20_BREAK
2021-01-12,204320,ADD,77400.0,3,ADD_16PCT
2021-01-18,042700,ADD,10000.0,2,ADD_8PCT
2021-01-25,319400,SELL,5920.0,0,MA20_BREAK
2021-01-26,042700,ADD,10525.0,3,ADD_16PCT
2021-01-28,204320,SELL,72700.0,0,MA20_BREAK
2021-01-28,011780,BUY,277000.0,1,ENTRY
2021-01-29,042700,SELL,9450.0,0,MA20_BREAK
2021-01-29,011780,SELL,247500.0,0,STOP_8PCT
2021-01-29,020150,BUY,71400.0,1,ENTRY
2021-02-01,096770,BUY,310928.0,1,ENTRY
2021-02-02,530031,BUY,550.0,1,ENTRY
